evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,effective_k0_0,effective_k0_1
1,0,0.00012965881267181333,0.0009863683118128547,1,0,0.005,0.0005,0.4,0.3,-0.0009805039926364032,-0.0001073981702479749,0.005,0.0005
2,0,0.0001286878762670026,0.0009812828294052838,1,0,0.005,0.0005,0.4009805039926364,0.30010739817024795,-0.0009754629524017952,-0.0001067146652396579,0.005,0.0005
3,1,2.850623742237972e-05,9.990537394082688e-05,1,0,0.005,0.0005,0.5908356451061925,0.31596518129059037,-9.985630525074548e-05,-3.130821605647744e-06,0.005,0.0005
4,2,2.7286907930334186e-05,1.3552865117650843e-05,1,0,0.005,0.0005,0.6125501770493291,0.31591200992214513,-1.255063202105977e-05,5.1148596040542604e-06,0.005,0.0005
5,3,2.7260336769820587e-05,6.161149701352568e-06,1,0,0.005,0.0005,0.6158211049348082,0.3143636239500955,-4.594946371613906e-09,6.161147987911399e-06,0.005,0.0005
6,4,2.7248636861191036e-05,6.9754323186483595e-06,1,0,0.005,0.0005,0.6167701328950659,0.31211598825407844,2.990709672990907e-06,6.301770519776379e-06,0.005,0.0005
7,5,2.717411335844784e-05,1.6305234044104488e-05,1,0,0.005,0.0005,0.6214603115658491,0.2927542505976218,1.5045352302563432e-05,6.2847459236450605e-06,0.005,0.0005
8,6,2.7079240514225102e-05,2.3444629122480742e-05,1,0,0.005,0.0005,0.6256574306053684,0.26200807324452086,2.2836920903580907e-05,5.3033648124809976e-06,0.005,0.0005
9,7,2.6940099082358664e-05,1.9438924856884927e-05,1,0,0.005,0.0005,0.6283484880326342,0.21488941517736843,1.917319202304238e-05,3.203202653464616e-06,0.005,0.0005
10,8,2.6842099594030957e-05,5.710561740677652e-06,1,0,0.005,0.0005,0.6284670469099829,0.1673841228336067,5.582650627740966e-06,1.2018849207285915e-06,0.005,0.0005
11,9,2.681793916269735e-05,5.527902410691546e-07,1,0,0.005,0.0005,0.629228816968772,0.13401266553977376,-2.203366806273646e-07,5.069800763258935e-07,0.005,0.0005
